Título,Cuerpo,Dia y hora
Pedro Sánchez pacta con ERC incluir a Tsunami y los CDR en la ley de amnistía ," ERC y el PSC han hecho un comunicado conjunto en el que aseguran que “en las próximas horas” se cerrará el acuerdo para cerrar la investidura de Pedro Sánchez. Según el texto, la clave ha sido una conversación telefónica esta tarde entre Pere Aragonès y Pedro Sánchez en la que ambas formaciones han dado por “colmadas sus expectativas”. Fuentes de ERC aseguran que el texto de la nueva Ley incluirá a los encausados por Tsunami Democràtic –entre los que están altos cargos de ERC y la secretaria general Marta Rovira– y también la causa de los CDR acusados de terrorismo. 
 Según el documento publicado, los flecos pendientes han sido “delegados en sus respectivos equipos negociadores del cierre definitivo, en las próximas horas”. Fuentes de ERC han apuntado que el punto clave era que los encausados por Tsunami Democràtic, en la mayoría altos cargos de los republicanos, entren dentro del perímetro de la nueva ley de amnistía. 
 Este mediodía, la portavoz de la Generalitat, Patricia Plaja, lamentó que los acusados por Tsunami Democràtic, una protesta que provocó el asalto del aeropuerto de El Prat en 2019, no entrase en el perímetro de la ley de amnistía. El comunicado no hace mención explícita concreta al alcance de la futura amnistía y si beneficiará a los acusados por Tsunami. 
 “La ley será registrada próximamente en el Congreso de los Diputados”, señala la nota conjunta de este acuerdo, que no se ha cerrado todavía, pero que se anuncia con antelación. 
 El acuerdo de investidura está pendiente de “la aprobación del mismo por parte de los órganos de ERC”, según la nota, que le da un alcance más allá de la investidura de Pedro Sánchez, prevista para la semana que viene. 
 El comunicado apunta que más que un acuerdo de investidura será un acuerdo de legislatura, ya que “dicho acuerdo contendrá cuestiones políticas y económicas para desarrollar durante la XV Legislatura. Al finalizar las conversaciones, se comunicarán la fecha y lugar de firma del acuerdo”. Estas cuestiones económicas serían los flecos pendientes de cerrar al margen de la amnistía. 
 PSOE, ERC y JxCAT han rebajado sus respectivas líneas rojas en la negociación de la investidura para llevar el acuerdo a un éxito, que podría concretarse la próxima semana, antes de la festividad de la Almudena. Eso implica que todas las partes han tenido que hacer cesiones que en principio dijeron que no iban a aceptar. Ahora lo complicado es explicar a sus respectivas bases y cuadros no la conveniencia del acuerdo, más obvia, sino el precio que se tendrá que pagar por ella. 
 Así, Carles Puigdemont ha rebajado sus expectativas para llegar a un acuerdo e investir finalmente a Pedro Sánchez presidente del Gobierno español. El tema está prácticamente cerrado. “Solo algún imponderable de última hora podría dar al traste con el acuerdo, una sorpresa, que nunca se descarta, pero de momento todo está atado y bien atado”, confirmaron a El Confidencial fuentes independentistas. 
 La negociación fue muy difícil, especialmente porque Puigdemont había puesto el listón muy alto en su comparecencia del pasado 5 de septiembre, exigiendo un negociador internacional, la amnistía y el referéndum. Pero la realidad se impuso al final en las negociaciones y se encontró un encaje entre las peticiones de unos y las voluntades de ceder de otros. La mejor pieza que se llevará Puigdemont es la amnistía, que le podría suponer la posibilidad de volver a España sin que le detengan. “Él sabe que no podrá aprobarse la ley antes de la investidura, pero existe la voluntad de tirarla adelante y es un compromiso de los socialistas”, explican a este diario fuentes cercanas al Gobierno español. 
 Algo parecido reconoció la portavoz de la Generalitat, Patricia Plaja, en la rueda de prensa tras el Consell Executiu de este martes. Se le preguntó qué pasaría si el acuerdo al final no incluye el traspaso de Cercanías o una mejora del déficit fiscal, y Plaja ha planteado que “el Govern ha dejado muy claro cuáles son las tres carpetas necesarias —amnistía, autodeterminación y más autogobierno para Cataluña—, pero la Generalitat no forma parte de las negociaciones y sería poco prudente por mi parte marcar ahora líneas rojas que hagan posible o no la investidura”. 
La Generalitat ya ha reconocido que ha rebajado sus expectativas negociadoras
 La Generalitat renunciaba a marcar líneas rojas porque las líneas rojas han volado por los aires. Es el precio de haber negociado un pacto de Estado que cristalizará en la primera amnistía penal en España desde la de 1978. Es decir, no se trata solo de JxCAT, sino también de un proceso que también afecta a ERC. 
 Así se han rebajado o aguado peticiones de JxCAT como el mediador internacional o el reconocimiento de Cataluña como nación. De alguna manera, tras dos meses, la negociación ha vuelto a la casilla de salida: amnistía por investidura. 
 ""El mediador es una figura que no existe en conflictos como el catalán"", reconoce una fuente independentista a El Confidencial. Con esa certeza como telón de fondo, los socialistas rechazaron de plano la figura del mediador internacional, pero JxCAT les trasladó hace unos días la posibilidad de que ambas partes propongan a una figura cada una como observadora. Se trataría de llevar las negociaciones con dos figuras neutrales, no necesariamente internacionales, como fedatarios públicos, aunque el PSOE es reticente a esta medida. “Aceptarlo sería aceptar que no nos fiamos de lo que firmemos. No hacen falta figuras externas para acordar algo entre dos partes, si dejas bien delimitado lo que pactas”, argumentan fuentes socialistas. 
 Pero el PSOE también paga. No solo porque la amnistía no estaba en su agenda. También porque si incluye a los CDR y a los responsables de Tsunami eso puede tener fuertes costes electorales para el partido. También porque ha aguantado todo el despliegue de discurso y relato del independentismo. Solo una vez, Salvador Illa dijo basta. Y fue cuando ERC y JxCAT aprobaron en el Parlament una propuesta de resolución que abogaba por vetar la investidura si no se aceptaba el referéndum. La propuesta de resolución era la prueba por escrito y en sede parlamentaria de que el independentismo tenía líneas rojas. Y el acuerdo cimentado y ahora ultimado está muy lejos de esas pretensiones grabadas en piedra que pesarán como una losa sobre los firmantes cuando se haga público el redactado de la ley de amnistía. ",31/10/2023 - 22:21
Felipe VI y Juan Carlos I se reencuentran en Zarzuela sin señales de acercamiento," El hombre que reinó en España durante 39 años es, en el otoño de 2023, un monarca orillado. Nadie se acordó de él este martes en los actos institucionales por la jura de la Constitución de la princesa Leonor. Ni en uno solo de los discursos se le mencionó. No lo hizo Felipe VI en las palabras que pronunció antes del almuerzo, con más de un centenar de invitados, en el Palacio Real. Tampoco la propia heredera en su intervención. Y no podía esperarse del presidente del Gobierno en funciones, Pedro Sánchez, muy crítico siempre con el emérito. O del discurso de la presidenta del Congreso, Francina Armengol. Expatriado en Abu Dabi (Emiratos Árabes) desde el año 2020, para que las irregularidades descubiertas en sus finanzas y los pormenores de su vida íntima no lastraran más la institución, Juan Carlos I pasó ayer unas horas en la Zarzuela, pero esta visita en nada compensa su situación de invisibilidad. 
 Olvidado en un día tan relevante para la monarquía como es el acatamiento de la Constitución de la heredera ante las Cortes Generales, solo ha regresado a Madrid invitado por los Reyes para una reunión familiar posterior en el Palacio de El Pardo. Leonor cumplió, este 31 de octubre, 18 años. Esa celebración privada provocó el segundo encuentro conocido de Felipe VI con su padre. Siguen muy distanciados y solo se ven en momentos puntuales, la mayoría de las veces, funerales. Y no hay ni una sola señal de que la relación entre ellos vaya a cambiar. 
 Su rehabilitación no aparece en ningún horizonte, a pesar de que el emérito viene con más frecuencia a España desde que la Fiscalía del Tribunal Supremo archivó las investigaciones contra él, protegido por la inviolabilidad constitucional. Esa decisión judicial provocó que padre e hijo sellaran en marzo del año pasado un acuerdo, que fue muy costoso de alcanzar, por la resistencia de Juan Carlos I. Se le permitía volver de vez en cuando, pero con una serie de condiciones. No podía establecer su residencia en nuestro país y sus visitas no supondrían un gasto adicional a la Corona. El pacto se hizo público con la fórmula de un escrito que el anterior monarca enviaba al Rey, en el que prometía que sus estancias tendrían siempre carácter privado y en el que asumía que permanecería en Abu Dabi. La realidad es que no puede pasar más de seis meses en nuestro país porque debería tributar a Hacienda y carece de ingresos conocidos, desde que el Rey le retiró la asignación presupuestaria. 
 Pero rompió ese acuerdo en su primera visita en mayo de 2022, que fue un espectáculo, y eso condujo a la primera gran reunión en Zarzuela entre los dos, después de ser obligado a dejar España. En ese viaje estaba previsto que se desplazara a Madrid, pero no que despachara largamente con Felipe VI. ""Un tiempo amplio de conversación"", según el comunicado que difundió la Casa del Rey, sobre ""distintos acontecimientos y sus consecuencias en la sociedad española"", en el que Juan Carlos I fue apercibido por su hijo por no cumplir la promesa de ""privacidad"". 
 Este segundo encuentro en Zarzuela se realiza en un contexto muy distinto. El emérito muestra otro comportamiento cuando se desplaza a España —lo ha hecho ya en cuatro ocasiones desde que se archivó la investigación del Supremo— y se trata de una celebración familiar. Una cena a la que acuden tanto él como doña Sofía. Pero, a diferencia de la Reina emérita, él, en cuanto termine, se irá. La previsión es que ""no pase la noche en Madrid"". No hay cambios en la política de aislamiento a que está sometido, pero sí una pequeña normalización de la vida familiar. 
 Los contactos entre padre e hijo son solo en momentos muy puntuales, como el cumpleaños de Leonor, o coincidencias en funerales de personas cercanas de otras casas reales. En septiembre estuvieron a 15 kilómetros de distancia, Felipe VI en La Toja y Juan Carlos I en Sanxexo, y no se vieron. En el Gobierno consideran que el Rey trata con la misma distancia a su progenitor porque su cercanía ""no le favorece"". Y este martes quedó probado en los actos institucionales de la jura de Leonor. Nadie ha hecho ni una sola referencia a Juan Carlos I, en un día en el que la monarquía ha proyectado una imagen muy distinta. Renovada. ",01/11/2023 - 05:00
Esta es la fecha límite para solicitar la ayuda del alquiler de hasta 6.000 euros de la Comunidad de Madrid," La Comunidad de Madrid ha abierto ya el plazo para solicitar la ayuda de hasta 250 euros mensuales para alquilar una vivienda o habitación. Así, desde el 1 de noviembre y hasta el 15 de diciembre, los jóvenes de hasta 35 años podrán pedir el Bono Alquiler Joven, una medida que aprobó el Gobierno de Pedro Sánchez y cuyos fondos gestionan las comunidades autónomas. 
 Esta ayuda se concede para un plazo de dos años, por lo que, en total, alcanza la suma de 6.000 euros. Solo se dejaría de recibir la cuantía si en algún momento no se cumplen los requisitos. ""El objetivo de estas ayudas en régimen de concesión directa es impulsar el acceso a la vivienda y en su caso, a la emancipación de los jóvenes con rentas bajas"", ha señalado el Ejecutivo autonómico. 
 Los solicitantes tendrán que acreditar una fuente regular de ingresos y ser titulares o estar en condiciones de suscribir un contrato de arrendamiento de vivienda o de habitación, o de cesión de uso. Deberán destinar al alquiler un máximo de 600 euros, ampliables a 900 euros si se trata de una vivienda completa. 
 Para acceder a esta ayuda, los jóvenes deben cumplir un requisito fundamental: tener unos ingresos anuales tres veces inferiores a tres veces al IPREM, que es el Indicador Público de Renta de Efectos Múltiples, situado en los 600 euros mensuales para 2023. Lo puedes calcular en la web. Asimismo, esta iniciativa es compatible con el Plan Estatal de Vivienda. 
 También se deberán acreditar rentas de trabajo y contar con una fuente regular de ingresos. Estos pueden proceder del trabajo por cuenta propia o ajena, de ser personal investigador en formación o de percibir una prestación social pública de manera periódica. Se debe poder demostrar: o una vida laboral de 3 meses como mínimo y que estos hayan tenido lugar en los 6 meses anteriores a la solicitud, o una previsión de que la fuente de ingresos se va a seguir recibiendo durante los 6 meses siguientes. 
 Hay requisitos específicos que dependen de las administraciones autonómicas. En la Comunidad de Madrid, por ejemplo, se exige no ser ya propietario de una vivienda en España, no tener un parentesco de primer o segundo grado ni con el propietario ni con los compañeros de piso o poseer la nacionalidad española o la residencia legal en España. La solicitud puede realizarse de forma telemática a través de la web de la Comunidad de Madrid y de forma presencial. ",01/11/2023 - 05:00
"La Aemet advierte que una nueva borrasca llegará el fin de semana: ""con características similares a Ciarán"""," Esta primera jornada de noviembre, día de Todos los Santos, vendrá marcada por la estabilidad general en casi toda la Península, menos en Galicia, donde se esperan lluvias débiles. Sin embargo, el plato fuerte meteorológico llega el jueves, con la entrada de la borrasca Ciarán por el atlántico. 
 Se trata de una borrasca muy potente, del tipo ciclogénesis explosiva, que dejará temporal y lluvias en casi todo el país, especialmente en el noroeste y los Pirineos. Y se espera que la inestabilidad se mantenga entrado el fin de semana, encadenando borrasca tras borrasca. La Agencia Estatal de Meteorología (Aemet) ha indicado que, para el sábado 4 y el domingo 5 de noviembre, otra borrasca parecida a Ciarán arrasará la Península. 
 Ciarán se caracteriza por dejar episodios de lluvias fuertes allá por donde pasa, además de fuertes rachas de viento que mantienen en alerta roja a gran parte de la costa norte de nuestro país por olas de hasta nueve metros. La costa mediterránea también experimentará olas de hasta seis metros de altura para los días jueves y viernes. La Aemet ha advertido, en su pronóstico semanal, que en el interior de la Península se pueden alcanzar rachas puntuales de hasta 100 km/h. 
 Estas son las características de Ciarán, procedente de Reino Unido, que mantendrá la inestabilidad en la Península hasta el domingo 5 de noviembre. Como indica la Aemet, conforme Ciarán avanza hacia el este de la Península y pierde fuerza, se espera que otra borrasca entre por Galicia en las jornadas del sábado y domingo. Esta nueva borrasca tendrá “características similares a Ciarán con sus frentes asociados”, dejando lluvias abundantes en Galicia, cornisa Cantábrica, Pirineos y sistema central. 
Se espera un fin de semana inestable, especialmente en el norte y Pirineos
 Esta primera semana de noviembre también se esperan nevadas en nuestras montañas, bajando la cota de nieve hasta los 900 y 1.000 metros. Los picos montañosos se verán nevados, especialmente en el norte, pudiendo afectar al tráfico rodado, tal y como advierte la Agencia Estatal de Meteorología. 
 Sin embargo, todavía es pronto para confirmar el pronóstico de cara al fin de semana, y la Aemet calcula que, a partir de la tarde del domingo 5 y la mañana del lunes 6 de noviembre, haya una mejoría paulatina, y la estabilidad meteorológica vuelva. ",01/11/2023 - 11:27
Cambio del precio de la bombona de butano en noviembre: esta es la fecha en la que se efectuará," El precio de las bombonas de butano, que el año pasado alcanzó niveles máximos históricos por factores como la guerra de Ucrania, desde entonces se ha ido reduciendo y se encuentra ya en valores muy inferiores. Ante aquellas subidas, el Gobierno congeló el precio máximo del butano mediante el Real Decreto-Ley 11/2022, regulándolo y revisándolo cada dos meses con subidas y bajadas de como mucho el 5%, para así evitar cambios muy repentinos en el precio del butano. 
 Desde que se adoptaron dichas medidas, el precio del butano ha ido gradualmente en descenso: de los 19,55 euros que alcanzó la bombona de 12,5 kg en su máximo histórico del año pasado, ha pasado a costar 14,43 euros en su valor actual, fijado el pasado mes de septiembre, que la devuelve a niveles que no se veían desde hace más de dos años. Ahora, el inminente cambio de precio podría suponer una nueva reducción. 
 El precio actual de 14,43 euros estará vigente hasta el 20 de noviembre, y se espera que ese mismo día aparezca en el BOE (Boletín Oficial del Estado) el nuevo precio, que será aplicable desde el día siguiente, martes 21 de noviembre. De esta manera, y siguiendo la tónica habitual, el nuevo precio de la bombona de butano entrará en vigor el tercer martes de un mes impar. 
 Los expertos creen que seguirá la tendencia a la baja en el precio de las bombonas (siempre que no se vea afectada por la tensión internacional provocada por el conflicto entre Israel y Palestina), aunque hasta la publicación en el BOE del 20 de noviembre no conoceremos la cifra exacta que estará en vigor hasta el 15 de enero de 2024. Como las bajadas son de como mucho el 5%, en este caso la reducción no puede ser mayor de 72 céntimos respecto al coste actual, por lo que en el mejor de los casos tendríamos un nuevo precio de 13,71 euros. 
El 20 de noviembre conoceremos el nuevo precio: si hay bajada será como mucho de 72 céntimos
 Más de ocho millones de hogares en nuestro país recurren al butano para actividades cotidianas como son calentar el agua, cocinar y generar calefacción. Además, numerosos negocios de hostelería y restauración también hacen uso de esta fuente de energía. 
 El precio del butano, regulado por ley, queda establecido cada dos meses por una resolución del Director General de Política Energética y Minas, tras lo cual se publica en el BOE. Para llevar a cabo el cálculo de cada nuevo precio, se tienen en cuenta el coste de la materia prima en los mercados internacionales, el transporte y el estado actual del tipo de cambio. ",01/11/2023 - 16:44
Concierto de Madonna en Barcelona 2023: cómo llegar al estadio," Madonna, la Reina del Pop, está lista para hacer vibrar a la ciudad de Barcelona con su presencia durante las noches del 1 y 2 de noviembre de 2023, en el Palau Sant Jordi. Tras suspender su gira en julio por una infección bacteriana grave, la cantante celebra sus 40 años de carrera musical y lo hará con una nueva gira, The Celebration Tour, que la llevará a las grandes capitales del mundo. La promotora musical Live Nation ha anunciado que esta será la única fecha en la que la artista estadounidense actuará en España. 
 Como telonera, Madonna estará acompañada por Bob the Drag Queen, ganadora de la octava edición del popular programa de televisión estadounidense RuPaul's Drag Race, que desde 2021 cuenta con una versión española. La última vez que la cantante de Like a Virgin pasó por España fue en el año 2015, durante su gira Rebel Heart Tour, y también paró en el Palau Sant Jordi. 
 Las cerca de dos horas de espectáculo serán tiempo suficiente para introducir las cuatro décadas de carrera a través de diferentes escenarios, que muestran la variedad de estilos y estéticas del legado de la cantante: desde los crucifijos en llamas de 'Like a Prayer' hasta la vestimenta country de 'Don’t tell me', pasando por las gabardinas negras y los sombreros de ala ancha en 'Die another Day' o el estilo futurista de 'Ray of Light'. 
 El Palau Sant Jordi, el enclave que acogerá este esperado concierto, es un renombrado pabellón cubierto en el corazón de Barcelona. Situado en la montaña de Montjuïc con unas imponentes vistas de la ciudad. Sin embargo, encontrar aparcamiento en las cercanías puede ser un desafío, especialmente cuando se celebra un evento de estas características. 
 El recinto cuenta con conexión de transporte público. La estación de metro más cercana es la de Plaça Espanya, desde donde se puede llegar a pie al Palau en tan solo 20 minutos (vía escaleras mecánicas). También existe la posibilidad de coger la línea L1 o L3 del metro. El autobús cuenta con diversas líneas que tienen paradas cercanas al estadio: Línea 150, 55 y 13. La más recomendable es la 150, ya que en horario pre-concierto tiene un refuerzo de frecuencia de paso cada 10-15 minutos. 
 Asimismo, también hay un servicio gratis de autobús lanzadera. Podrás aparcar en el Parking B de Fira y utilizar este bus para llegar en las inmediaciones del Palau Sant Jordi. El servicio empezará dos horas antes del inicio del evento y terminará 1,5 horas después del final del concierto, con intervalos de paso de entre 3 y 4 minutos. En moto se habilita un espacio para aparcamiento con unas 3.500 plazas. Concretamente en la calle Doctor Font i Quer y en el paseo del Migdia, las motos podrán acceder a estas zonas de aparcamiento sin la necesidad de disponer de una acreditación y hasta que se complete su aforo. ",01/11/2023 - 07:00
Jorge Javier se pasa a la competencia: el programa que sigue y por qué ha llamado a su directora," Un mes después de la cancelación de Cuentos chinos, pocas noticias han tenido los espectadores sobre Jorge Javier Vázquez. El presentador mantiene un perfil bajo, con pocas apariciones públicas más allá de la boda de Isa Pantoja, de la que fue padrino, y algunos comentarios en redes sociales. Donde más prolífico se mantiene es en su blog de la revista Lecturas, espacio en el que esta ocasión se ha sincerado sobre el único programa que ha seguido entero esta semana, uno que podía considerarse incluso como un pequeño dardo a Mediaset, ya que no forma parte de la programación de ninguno de los canales del grupo. 
 Así, Vázquez asegura que solo se ha visto entero Dúos increíbles, talent show musical cuya segunda temporada cuenta en TVE con la participación de Paloma San Basilio como uno de sus principales reclamos. Es precisamente la presencia de la artista, una de las más admiradas por el catalán, el motivo por el que este se ha enganchado a esta edición: ""Sale Paloma San Basilio y eso es para mí un motivo para seguir viviendo"", bromea el presentador. 
 ""En el primer programa que salió la vi cantar Me muero con José Otero y me produjo mucha emoción, porque después de 50 años de profesión a sus espaldas y una carrera impresionante, la noté nerviosa. Y es precioso atisbar un poquito de inseguridad en una señora de 72 años que lo ha cantado todo en los escenarios. A ver, esto lo noté yo porque la tengo radiografiada. Que me he hecho muchos kilómetros para verla y además bien de cerca"", analiza Jorge Javier, quien ha relatado en varias ocasiones los largos viajes que ha hecho para disfrutar de la cantante. 
 Mucho mejor la encontró en la siguiente gala: ""La cosa ya fue distinta. Le tocó cantar ‘Hijo de la luna’ con Teo Bok, un muchacho de 20 años, y disfruté como un gorrino en una charca. Y ella. Qué versión tan bonita hicieron y cómo controlaba mi artista todo el tinglado: las luces, el sonido, las cámaras. Ver a Paloma San Basilio cantar en directo en un programa de televisión es algo obligatorio para todos aquellos que deseen dedicarse al escenario"". 
 Es aquí, tras esta reflexión, cuando Vázquez destapa que no pudo evitar llamar a Eva Tovar, directora del programa, para cotillear del mismo y tratar de conseguir información privilegiada de sus grabaciones: ""El miércoles por la mañana la llamé para que me contara cómo habían ido las grabaciones. Yo en plan fan fatal, que conste. Conozco a Eva porque dirigió las primeras ediciones de Got Talent. Qué gusto charlar con ella y qué cosas tan bonitas me contó de San Basilio"". 
 ""Intenté que me chivara si gana la edición, pero no soltó prenda. Es que si Paloma no gana o no queda muy bien posicionada me bajo del programa. Aviso. Me tiene más preocupado en qué lugar queda Paloma San Basilio en Dúos Increíbles que la amnistía, no os digo más"", concluye con sorna el filólogo, dejando más que claras sus prioridades ahora mismo. ",31/10/2023 - 18:19
Este será el cambio que habrá en la Gran Vía de Madrid a partir de noviembre," A medida que nos acercamos a la Navidad, el Ayuntamiento de Madrid va desvelando más detalles sobre la decoración y actividades que habrá durante las próximas semanas. La capital en diciembre se convierte en una de las ciudades más concurridas. Los mercadillos navideños, las luces de Gran vía, los belenes o la pista de hielo son algunos de sus grandes atractivos. 
 Madrid se convertirá desde el 23 de noviembre en un enorme escaparate navideño para disfrutar en familia. En este día tendrá lugar el encendido de las luces de Navidad y se pondrá en marcha una novedad en la programación navideña. La Gran Vía es el lugar elegido para colocar el ""jardín de invierno"". 
 La emblemática avenida contará, además de las populares luces, con nueva decoración navideña, como las flores típicas en estas fechas: muérdago y flores de Pascua. También estará decorada con ciclámenes, madroños, cactus de invierno, etc. 
 A partir del 23 de noviembre llegará este cambio en la Gran Vía, que ya se prepara para quedar iluminada hasta el Día de Reyes. Desde el portal de Turismo del Ayuntamiento de Madrid informan de que ""se iluminarán más de 230 emplazamientos, repartiéndose por toda la capital 6.600 cadenetas, 115 cerezos y once grandes abetos luminosos. Como siempre, la iluminación incluirá propuestas de diseñadores y especialistas de reconocido prestigio, a los que se sumarán nuevas incorporaciones"". 
También cambia la ubicación de la popular bola de Navidad, que se desplaza a la parte trasera de la plaza de España
 A las 19.00 horas comenzará el acto en la Puerta del Sol y se dará el pistoletazo de salida a la Navidad 2023/2024 de Madrid. Entre las novedades que hay preparadas para este año, destaca el nuevo árbol iluminado colocado en la confluencia de la calle Montera con Gran Vía. También cambia la ubicación de la popular bola de Navidad, que se desplaza a la parte trasera de la plaza de España, situada a la entrada de los Jardines de Sabatini. 
 ",31/10/2023 - 18:44
¿Está abierta Doña Manolita los domingos y festivos de 2023? Este es el horario de la administración para la Lotería de Navidad," Situada en la calle del Carmen número 22 de Madrid, muy próxima a la Puerta del Sol, la administración de lotería de Doña Manolita es la más famosa de Madrid, y una de las más populares de España, al igual que la Bruja de Oro. Doña Manolita ha repartido, en más de un siglo de servicio, cientos de premios, no solo a madrileños, sino a personas de toda España e incluso extranjeros. 
 La administración de loterías de Doña Manolita destaca por tener un horario muy amplio durante todo el año, y cuentan con tres periodos con aperturas especiales: Navidad, verano y el resto del año. Las semanas previas al Sorteo de Navidad y al Sorteo del Niño, y a pesar de tener canal de venta online, las colas pueden llegar a ser de hasta dos horas, por lo que es recomendable conocer cuándo abre el local y qué horario tiene. 
 El horario habitual de Doña Manolita es, entre el 7 de enero y el 30 de junio, así como el mes de septiembre, de lunes a viernes, de 9:30 a 20:15 horas. Durante ese periodo también abren los sábados, de 11:00 a 20:15 horas. Sin embargo, los domingos y los festivos el local permanece cerrado. 
 Sin embargo, conocedores de su éxito con la Lotería de Navidad, en Doña Manolita tienen un horario especial de cara a la campaña de Navidad. Y es que, desde el 1 de octubre hasta el 6 de enero, esta administración de lotería abre todos los días, de lunes a domingo, de 9:00 a 20:15 horas, sin descanso, incluyendo festivos como el 1 de noviembre, día de Todos los Santos. 
Doña Manolita abre todos los días desde el 1 de octubre hasta el 6 de enero
 Por otra parte, esta popular administración de lotería de Madrid tiene un horario de verano más reducido para los meses de julio y agosto. Se merecen un descanso tras el ajetreo de las Navidades, por lo que solo abrirán de lunes a viernes, de 9:30 a 20:15 horas, cerrando sábados, domingos y festivos locales y nacionales. 
 Los interesados en comprar un décimo de Lotería de Navidad en Doña Manolita deben recordar que esta administración de lotería es famosa por agotar sus billetes de lotería a mediados de diciembre. Así ocurrió en 2021 cuando, unos días antes del sorteo de Navidad, Doña Manolita ya no podía vender más décimos. Y es que, desde agosto, las colas en este local de lotería son notables, llenando las calles colindantes, por lo que hay que ser previsores y acudir con antelación. ",01/11/2023 - 09:51
El ejército que Margarita está formando disimuladamente contra Cruz en 'La Promesa'," Llegó de la mano de Fernando a la mansión de La Promesa, y ahora se encuentra sola ante el peligro. El personaje de Margarita, en la serie que La 1 de Televisión Española emite entre semana a las 17:30 horas, está dispuesto a hacer lo que sea conveniente con tal de desbancar a Cruz de su puesto autoritario en palacio. Y aunque la mujer se quedó viuda, sin su mejor aliado, desde el episodio de este lunes podría estar buscándose nuevos aliados. 
 Si recordamos, la mujer ganó a Lorenzo un veinticinco porciento de los terrenos de La Promesa en una partida de póquer. Después de mucho debatir y un par de engaños por parte del capitán y la marquesa, la afincada en el palacio por fin obtuvo legalmente su parte de terrenos, y ahora nadie puede expulsarla de la que ya es su casa por derecho propio. 
 Catalina impidió que Lorenzo engañase a Margarita en la firma del contrato del traspaso, y por ello la madre de Martina se ha mostrado agradecida a la hija de Alonso. Por fin alguien le ayudaba en algo. En el episodio de hoy, Margarita ha informado al marqués su deseo de que su parte de los terrenos fuesen gestionados por Catalina. ""He observado que esa chica tiene muy buenas ideas"", ha declarado la viuda. La mujer ha definido su intención de vivir de los beneficios de su parte de La Promesa, y Cruz se ha exaltado ante la noticia. 
 Por su parte, Manuel se ha sorprendido de que ni Jimena ni Cruz quieran frenar ya sus deseos de volver a competir en aviación. ¿Qué están tramando? Su madre y su esposa le han dado a entender que, después de la conversación que tuvieron con Alonso, su padre les convenció de que ya era una persona adulta que debía tomar sus propias decisiones. ""Te pedimos disculpas"", ha comentado Cruz. Manuel no podía creerse que las mujeres de su casa decidiesen apoyarle, y les ha dado las gracias. 
 En la cena, Margarita ha acusado a Lorenzo de intentar engañarle, y ha comentado cómo ganó al póquer al capitán, hundiéndole así en la vergüenza. La mujer ha aprovechado para anunciarle a Catalina que deseaba darle parte de su dinero para que gestionase su parte de La Promesa. Catalina ha aceptado encantada la propuesta, ante las caras mustias de Lorenzo y Cruz. 
La Guardia Civil ha enviado la carta a Manuel para comunicarle que le prohibían volar
 A la mañana siguiente, Alonso le ha contado lo sucedido en la mesa sobre Catalina. El marqués le ha contado a su hijo que le gustaría que le echase una mano a su hermanastra, cuando Salvador ha entrado con una carta urgente para Manuel. La Guardia Civil ha enviado la misiva para comunicarle que le prohibían volar, debido al último accidente que tuvo en Puebla de Tera. Al marqués se le ha ocurrido que quizás los terratenientes donde se estrelló podrían haberle denunciado, pero a Manuel no le terminaba de cuadrarle que algo así le ocurriera después de tanto tiempo. 
 Margarita ha visto a su sobrino consternado. Manuel le ha contado su disgusto debido a la notificación, y su tía le ha dado las respuestas que buscaba: había escuchado a Jimena contarle por teléfono a su madre que pediría a la Guardia Civil que le enviasen esa carta a su marido. Margarita dudaba si Cruz también estaba en el ajo, pero desde luego estaba convencida de que su esposa sí lo estaba. 
 Manuel se ha ido corriendo a discutir con Jimena, pese a los esfuerzos de Martina de pararle los pies. La hija de Margarita le ha preguntado a su madre qué oscuro plan tenía para haberle contado aquello a Manuel, pues desde que llegó a La Promesa no había hecho más que ""malmeter"" y buscar siempre el beneficio propio. 
 Con Catalina y Manuel en su bolsillo, Margarita no solo se está ganando la confianza de sus sobrinos, sino que además los está posicionando poco a poco contra su gran enemiga, Cruz. Ahora que Manuel sospecha de su madre por la desaparición de Ramona, y Catalina odia a su madrastra por intentar sabotear su negocio de mermeladas, ¿formará Margarita un ejército contra la marquesa? ",30/10/2023 - 19:03
