,Título,Cuerpo,Fecha,Periódico
0,"Ley de amnistía y acuerdo de investidura de Pedro Sánchez, última hora en directo","- Aragonès insta a avanzar hacia la autodeterminación
- Puigdemont defiende que deben tomar precauciones ""por más prisas que tengan algunos""
- Feijóo censura el pacto de PSOE y ERC y dice que es ""dinero por votos""

				El ministro Bolaños y el presidente de ERC, Oriol Junqueras, durante la firma del documento Gerard Magrinya
			",03/11/2023 08:00,lavanguardia
1,"La Guardia Civil señala a Marta Rovira como ""coordinadora política"" del Tsunami Democràtic","La Guardia Civil entregó ayer —mismo día en el que PSOE y ERC rubricaron su acuerdo para la investidura de Pedro Sánchez— un informe en el que aparece la secretaria general de los republicanos, Marta Rovira, como ""coordinadora política"" de Tsunami Democràtic, la plataforma que se sospecha que estuvo detrás de los disturbios en Catalunya tras conocerse la sentencia del procés en 2019.
En el informe de 202 folios, al que ha tenido acceso La Vanguardia, el instituto armado recaba toda la información que considera de relevancia sobre la participación de Rovira en el Tsunami. El atestado comienza explicando que actualmente reside en Suiza y que ""con mucha probabilidad"" es la usuaria de la aplicación de mensajería cifrada Threema con el pseudónimo Matagalls.
La construcción de la investigación de la Guardia Civil es que detrás de este usuario está Marta Rovira, sobre quien únicamente pesa a día de hoy una causa por desobediencia por parte del juez del procés Pablo Llarena y por lo que ni siquiera se reclama pena de cárcel.
La Guardia Civil entrega este informe en plenas negociaciones del PSOE con los partidos independentistas catalanes para aprobar una ley de amnistía en la que se incluiría esta causa. A día de hoy el juez no tiene a Rovira investigada aunque en los próximos días deberá tomar una decisión y decidir si esta causa se debe continuar por terrorismo o por desórdenes públicos.
Según los agentes, el usuario Matagalls realizó cometidos de coordinación del movimiento Tsunami Democràtic en lo relativo a la búsqueda de apoyos institucionales y de su partido político.
Marta Rovira, secrearia general de ERC
El atestado explica que este usuario corresponde al nombre de ""Marta"", quien es la encargada de recabar apoyos de una corporación en la que militan tanto Xavier Vendrell, exdiputado del Parlament, como ella, ""la cual, con toda probabilidad se trata de ERC"".
Los agentes explican que Rovira habría participado en el referéndum del 1 de octubre donde actúo con ""abuso de posición'"". A su juicio, a raíz de la sentencia del Tribunal Supremo por la que se condenó a nueve líderes del procés por un delito de sedición, ""también tuvo que hacer ""abuso de su posición"" para bendecir a Tsunami Democràtic ante las organizaciones"".
Los investigadores señalan que Tsunami Democràtic no surgió “de forma espontánea, sino que fue el resultado de una estrategia minuciosamente planificada” para protestar contra la sentencia del juicio del “procés”. Una plataforma que, según la Guardia Civil, “sirvió como elemento desestabilizador y de presión política a través de la movilización social a gran escala”.
Los agentes justifican esta aseveración en una conversación mantenida el 3 de octubre de 2019 con Vendrell a quien le dice: “Se está reclutando gente para hacer vuestra acción que lo está charlando en la dirección”. Acto seguido, Matagalls le reporta que existen ciertos problemas para llevar a término el encargo, contestándole Vendrell que: “Supongo que, dado que no se ve como una acción peligrosa y/o no tiene el morbo de las urnas, el personal se ha relajado... trato de poner orden, pero al no haber una sensación de mando único, todo el mundo duda de todo. No está siendo fácil, la moral de la tropa está tocada. Pienso que cuando las primeras acciones salgan bien todo el mundo reaccionará, pero cuesta arrancar”.
En el informe se recoge que la hoja de ruta de Tsunami Democràtic consistía en la ejecución de “acciones de gran envergadura” que movilizaran a miles de personas y que “comprometieran la estabilidad económica, social, empresarial e institucional de España”.
A tenor del resultado de las acciones que protagonizaron tras conocerse la sentencia del Tribunal Supremo, el Instituto Armado asegura “que se produjo una alteración grave del orden y de la paz pública en la que hubo momentos en los que se puso en riesgo la integridad física de los usuarios de la vía pública, así como la libertad y el patrimonio de muchos ciudadanos de Catalunya”.
Protesta de Tsunami Democràtic en el aeropuerto de El Prat tras la sentencia
La Guardia Civil cuantifica en el informe los presuntos perjuicios económicos que provocaron los daños ocasionados por las de la plataforma. El bloque del aeropuerto de Barcelona, en el que la compañía Vueling fue la más afectada, ocasionó unas pérdidas de 2,19 millones de euros. El corte de la AP-7 a la altura de La Junquera medio millón de euros y la acción durante un partido de en el Camp Nou lo cuantifica en 85.304 euros.",03/11/2023 14:14,lavanguardia
2,El explosivo momento de Úrsula Corberó y Madonna en su último concierto en Barcelona,"Madonna ha conquistado la Ciudad Condal con su gira, The Celebration Tour. La cantante ha ofrecido dos conciertos, y el pasado jueves, en el último de ellos, no dudaba en presentar a una invitada muy especial sobre el escenario: la actriz Úrsula Corberó.
Grandes amigas desde que se conocieron durante un vuelo, la actriz y la cantante lo dieron todo, moviéndose al ritmo del ya mítico tema Vogue. Entretanto, armadas con unas pancartas, puntuaban a los bailarines que les acompañaban durante la canción, realizando movimientos de lo más sensuales para intentar seducirlas.
Úrsula Corberó sube al escenario con Madonna en su show en Barcelona. pic.twitter.com/zRdL2In3Wo
La protagonista de El cuerpo en llamas acudía al concierto acompañada de su pareja, el Chino Darín; y su amiga Miranda Makaroff; y no dudaba en aceptar la invitación de la reina del pop con gran ilusión. 
Durante toda la noche, la actriz estuvo compartiendo imágenes y vídeos a través de su cuenta de Instagram, donde dejó claro que fue una de las mejores experiencias que ha vivido en los últimos tiempos.
Úrsula Corberó estaba emocionada de poder acudir al concierto de Madonna.
Todo comenzaba el año pasado, cuando la actriz conocía a Madonna en pleno vuelo. Así se lo contó a Jimmy Fallon durante una aparición en The Tonight Show, en el que relató cómo la reina del pop le confesó que era admiradora suya desde que la había visto en La casa de papel.
Úrsula Corberó con Madonna
""Estaba en Los Ángeles, regresaba a Madrid y tenía escala en Londres. Cuando subí al avión fui al baño y cuando volvía a mi asiento vi a Madonna. Vi como se giró hacia mi y, de repente, vi cómo ella vino directamente hacia mí"", comenzó la actriz, contando que no podía creerse que se acercase directamente a su asiento.
""Comenzó a ponerse las botas y me dijo 'hey, hola, lo siento, sólo quería decirte que soy una gran fan tuya, me encanta La Casa de Papel y Tokio es mi personaje favorito'"". Una confesión que la dejó paralizada y sin palabras, lo que hizo que Madonna le preguntase si sabía quién era ella. LA actriz reaccionó y se intecambiaron los números de teléfono.
Úrsula Corberó en su visita al 'Tonight show' de Jimmy Fallon
Una amistad que ha durado hasta hoy y, por lo que se puede ver, mejor que nunca.",03/11/2023 14:17,lavanguardia
3,The Beatles se 'reúnen' de nuevo en el videoclip de su última canción,"John, Paul, George y Ringo. The Beatles se han reunido de nuevo, con la ayuda de la Inteligencia Artificial, en el videoclip de la última canción de la mítica banda de Liverpool, titulada Now and Then. 
Guitarras y un bajo afinando, un casete, una batería y Ringo Starr carraspeando son un buen preludio para el ""one, two, three"" que da inicio a los primeros acordes del tema, esos que salieron de un lote de demos inéditas escritas por John Lennon en la década de 1970.
Cuatro décadas después de su asesinato, la voz de Lennon resalta con las primeras estrofas. ""Sé que es verdad / Es todo gracias a ti / Y si lo logro / Es todo gracias a ti"" se escucha mientras George Harrison, que falleció en 2001, le acompaña raspando de nuevo las cuerdas de su guitarra acústica.
La voz y las imágenes son antiguas, nostálgicas, hasta que el octogenario Paul McCartney (nacido en 1942) aparece en escena para poner los primeros coros. La canción imposible, la única grabación original de los Beatles del siglo XXI, ha iniciado los primeros segundos de sus más de cuatro minutos de duración.
El videoclip, obra de Peter Jackson, que ya dirigió el documental Get Back (2021), es un repaso en imágenes de la trayectoria de la banda. De vez en cuando, uno se pierde tanto en las fotos y las animaciones hechas gracias a la IA que incluso se olvida de la melodía. 
Yoko Ono fue quien dio las grabaciones a los antiguos compañeros de Lennon. De esas cintas salieron Free As a Bird y Real Love, lanzadas a mediados de los años 1990. Pero hubo limitaciones técnicas para extraer esta última canción. 
La voz de Lennon estaba oculta y el piano era “difícil de escuchar”, según ha descrito Paul McCartney. ""Y en aquellos días (en los 90), por supuesto, no teníamos la tecnología para realizar la separación"", añadía. 
""En realidad estamos jugando con tecnología de punta, que es algo en lo que los Beatles habrían estado muy interesados"", afirma Ringo Starr. ""Esta es la última canción en la que tendrás a los cuatro Beatles. John, Paul, George y Ringo"", continuó. 
The Beatles, en una imagen de 1964 
McCartney y Starr construyeron la canción a partir del demo de Lennon, agregando partes de guitarra que escribió George Harrison en las sesiones realizadas en 1995 y aportando sus contribuciones al bajo y la batería. 
El videoclip de Now and Then ha sido creado utilizando imágenes que Paul McCartney y Ringo Starr tomaron de ellos mismos actuando ahora y en las sesiones de grabación de mediados de los noventa.
Peter Jackson también ha usado ""imágenes de películas caseras nunca antes vistas proporcionadas por el hijo de Lennon y Yoko Ono, Sean, y Olivia Harrison, la esposa de George. E incluye unos preciosos segundos de The Beatles actuando con sus trajes de cuero en The Cavern, proporcionados por Pete Best, el baterista original de la banda. 
""El resultado es bastante loco y proporcionó al video el equilibrio muy necesario entre lo triste y lo divertido"", asegura Jackson. Quizás uno de los momentos más sobrecogedores es cuando los ancianos McCartney y Starr se reúnen en pantalla con un Lennon rozando la treintena y Harrison con bigote vestido un traje lila y violeta.
Ringo Starr, Paul McCartney, John Lennon, and George Harrison 
""Oh ahora y entonces / quiero que estés allí por mi / que siempre vuelvas a mi"". Y como no podía ser de otra manera, los fallecidos integrantes de The Beatles vuelven a aparecer con los inconfundibles trajes con los que rompieron todos los esquemas en su celebrado Sgt. Pepper's Lonely Hearts Club Band. 
Una orquestra ayudó en la interpretación final del tema. Y la locura. Lennon dirigiendo a los músicos mientras Harrison y dos McCartneys (el joven y el viejo) se lo miran desde la sala de mezclas. Todo se mezcla. Ayer, hoy, pasado, presente, vida, muerte. Mientras los Beatles siguen tocando corazones con su música.",03/11/2023 17:11,lavanguardia
4,"Vicky Martín Berrocal relata el día que fue registrada en el aeropuerto por llevar juguetes sexuales: ""No he sudado más en toda mi vida""","Las situaciones que pueden ocurrir en un aeropuerto son múltiples y dignas de viralizarse en cualquier momento. Sean por accidente o por cabezonería, los momentos más incómodos suelen producirse en los controles de seguridad. A menudo algún objeto fuera de lugar o difícil de identificar ha causado problemas, tanto para los agentes del orden como para los futuros pasajeros. Un incidente multiplicado por mil a nivel de vergüenza para Vicky Martín Berrocal.
La reconocida diseñadora de moda asistió este pasado jueves, junto a Inma Cuesta y Sílvia Abril, al programa Martínez y Hermanos, presentado por Dani Martínez en Movistar Plus. Durante la ya habitual sección de adivinar hechos acontecidos a los entrevistados, Berrocal confesó haber sido víctima de una surrealista inspección de equipaje en el aeropuerto de Sevilla. Según comentaba, un doble lío con dos amigas la dejó frente a los guardias con una maleta llena de juguetes sexuales.
En sus propias palabras, una primera amiga de Sevilla le pidió resguardar una bolsa hasta que viniera a recogerla a Madrid una conocida. Acto seguido, una segunda amiga, residente en la capital española pero que se encontraba en esos momentos se encontraba en la andaluza, le propuso regresar juntas en el avión de su padre, algo que Berrocal aceptó encantada. El problema llegó a la hora de dejar el equipaje en la cinta y el escáner, cuando la llamaron a registrar.
La nativa de Huelva comentaba, segundos antes de que le llamaran la atención, que todo el mundo se quedó mirándola. Una vez la llevaron a un diminuto cuarto, abrieron la maleta y retiraron, en primer lugar, un gran bote de lubricante dilatador. Acto seguido, colocaron sobre la mesa del registro tres consoladores de color negro, con Berrocal asegurando que nunca había visto nada así en su vida. La bolsa también incluía unas esposas y un látigo.
Vicky Martín Berrocal explicando una incómoda anécdota en 'Martínez y Hermanos'
La diseñadora mantuvo en todo momento que desconocía los contenidos de la bolsa y que esta era de una amiga. La insistencia del padre propietario del avión hizo que el viaje de vuelta se le volviera muy incómodo. El clip, publicado en el perfil de TikTok de Martínez y Hermanos, ya acumula casi 655.000 reproducciones, así como una cifra cercana a los 32.000 ‘me gusta’ y 130 comentarios. Las respuestas dejaron un amplio abanico de reacciones.
“A mí me pasó lo mismo, llevaba unas esposas con plumas rosas y me pararon y llevaron a un cuarto, son juguetes que pueden atentar a los ciudadanos”, recogía una usuaria. También hubo quien cuestionó el relato de Berrocal: “Supuestamente iba a pasar la amiga a buscarla a su casa. ¿Para qué la lleva a Madrid?”. Sin embargo, lo ocurrido también dejó una importante reflexión entre los escritos: “Lo que yo le digo a mi hijo: no recojas paquetes de nadie”.",03/11/2023 15:15,lavanguardia
5,La distracción de Daniel Sancho en prisión mientras espera la sentencia,"El asesinato del cirujano colombiano Edwin Arrieta a manos, presuntamente, del cocinero español Daniel Sancho, ha causado una gran conmoción en nuestra sociedad. Los hechos ocurrieron a principios del mes de agosto en la isla de la Koh Phangan, al sur de Tailandia.
La pareja de amigos 'especiales' se encontraba disfrutando de unos días en el país asiático cuando el hijo del actor Rodolfo Sancho preparó la escena del crimen, acabó con la vida de Arrieta, lo descuartizó y se deshizo del cadáver.
La policía tailandesa exige pena de muerte para Daniel Sancho por asesinato premeditado.
Después de varios meses de investigación en los que el acusado ha permanecido en la prisión de Koh Samui, la Fiscalía de Tailandia ha redactado el informe por el que se le juzgará. El organismo acusa a Sancho de asesinato premeditado y ocultación del cadáver, cargos que el joven no admitirá ante el juez.
Durante todas estas semanas en prisión, el español ha estado recibiendo algunas visitas entre las que destaca la de su padre, el actor Rodolfo Sancho, y su madre, Silvia Bronchalo. También se ha desplazado hasta la isla asiática el equipo legal que representa al acusado en nuestro país.
Rodolfo Sancho visita a su hijo en la cárcel
Según fuentes cercanas a la cárcel de la isla tailandesa, Sancho se encuentra bastante integrado en el conjunto de presos, aunque al principio lo pasó realmente mal y tuvo que pasar por enfermería varias veces por problemas de nerviosismo, ansiedad e insomnio.
Se ha podido conocer que, para matar el tiempo, el cocinero acusado de asesinar a su amigo a sangre fría se dedica a practicar uno de los deportes más populares de Tailandia: el Muay Thai.
Primeras imágenes de Daniel Sancho en la cárcel tailandesa de Koh Samui
Antes de ingresar en prisión provisional, algunos testigos habían visto al joven practicando dicha disciplina de lucha en un recinto local, por lo que el interés por este deporte no ha nacido a raíz de su detención.
El Muay Thai es un deporte que se vive con mucha pasión en todo el país, por lo que es normal que se practique en las cárceles del territorio. Según se ha podido conocer, las prisiones cuentan incluso con los cuadriláteros necesarios para que los presos puedan combatir unos contra otros.
Como ya es conocido por todos, Sancho es una persona que lleva haciendo deporte desde que era un niño, ya que le gusta sentirse activo y mantener un estilo de vida sano y cuidado. Debido a su competitividad nata y a su amor por el ejercicio, ninguno de sus familiares se ha sorprendido con que esté centrado en este deporte para refugiarse de toda la preocupación que gira alrededor del caso.",03/11/2023 13:04,lavanguardia
6,El motivo por el que Víctor Elías ha invitado a la reina Letizia a su boda,"Víctor Elías y Ana Guerra están atravesando uno de sus mejores momentos personales. La pareja de artistas anunciaba el pasado fin de semana a través de sus redes sociales que se habían comprometido. Tras dos años de relación, en los que la pareja ha demostrado en más de una ocasión lo consolidada que estaba, los artistas decidían dar un paso más en su idílico romance y sellar para siempre su preciosa historia de amor. 
Además, la pareja sorprendía con la forma tan original de anunciar su compromiso. Lo hacían a través de un carrusel de fotografías divertidas y naturales, donde posaban inmensamente felices y mostraban a todos sus seguidores sus anillos de compromiso.  ''Ella: Sí, quiero. Él: Sí, quiero."", escribían junto a la publicación. 
La gran noticia conseguía acaparar la atención de muchos de sus seguidores y de muchos de sus compañeros de profesión, que no dudaron en dejarle a la pareja mensajes de felicitación. Pero en medio de la inmensa felicidad que está travesando la pareja, una pregunta quedaba en el aire: ¿Invitará Víctor Elías a su boda a la reina Letizia?
La respuesta la dio este pasado miércoles en el programa de Socialité de Telecinco. Los recién comprometidos acudieron al preestreno de la docuserie de la influencer Marta Díaz. Allí los compañeros del programa pudieron preguntarles si entre la lista de invitados iba a estar la reina Letizia. ''A mí no me preguntéis si Letizia va a venir. Eso se lo tendréis que preguntar a él porque es su parte de la lista'', declaraba Ana Guerra. ''Invitarla la invitaré, luego si viene o no ya se verá porque hace mucho tiempo que no la veo. La admiro'', aseguraba el músico. 
El principal motivo por el que Víctor Elías quiere invitar a su boda a la reina Letizia es porque ambos tienen un vínculo familiar. El actor de Los Serrano es primo segundo de la reina Letizia. La madre del actor, Amelia, era prima hermana del  Jesús Ortiz, padre de la reina. Esta inesperada unión familiar les convierte en primos segundos, por lo que la invitación por parte del actor está más que decidida.  
Ana Guerra y Víctor Elías forman un tándem perfecto en el amor y en la música.
''Una cosa llevo diciendo tiempo. Yo ya presumía de prima cuando era la presentadora de Televisión Española. Y no era todavía ni la princesa. Y yo decía ''esta es mi prima'' (...) Este es el legado que nos deja porque ella ya era nuestra reina'', confesaba Víctor Elías. ",03/11/2023 16:32,lavanguardia
7,"Carmen Lomana explica por qué desfiló con los zapatos en la mano: ""Estoy harta""","Como cada fin de semana en la franja horaria del mediodía, Telecinco emitía este sábado Socialité. Nuria Marin se ponía a los mandos del programa para ofrecer a todos sus espectadores todas las novedades en el mundo de la prensa del corazón. Durante más de una hora y media, el programa hacía un repaso a las noticias más destacadas de la semana, como por ejemplo, el debut de Carmen Lomana en las pasarelas, concretamente en la 32ª edición de 080 Barcelona Fashion, en el desfile de Dominnico. La socialité terminaba el desfile quitándose los tacones, algo sobre lo que ha hablado con el programa.
Desfilar en una pasarela es todo un reto. Controlar la postura al caminar, mantener el equilibrio y no sonreír en exceso son algunos de los patrones que las modelos deben tener en cuenta para realizar de forma correcta su trabajo, y Carmen Lomana parecía tenerlos todo bajo control. Sin embargo, los asistentes al desfile de la firma catalana Dominnico, presenciaron el momento en el que la empresaria decidía quitarse los zapatos. 
Carmen Lomana tomó una decisión arriesgada en medio de la pasarela.
La socialité subió a la pasarela con un vestido mini negro de satén con escote de tipo barco, talle ceñido y aberturas en la falda. Completó el look con unos zapatos de tacón negros con puntera afilada y una maxi hebilla de lo más llamativa. Sin embargo, no fue su espectacular look el que terminó llamando la atención, tal y como antes decíamos. ""Es una pasarela muy grande y yo no tengo por qué disimular. Yo estaba ahí para disfrutar, no para ir con un zapato sí y otro no"", comenzaba diciendo la empresaria a Socialité tras ser preguntada por el momento en el que se quitaba los tacones.
Y es que fueron muchos los medios que aseguraban que la modelo sufrió un traspié con los tacones. ""No, eso no es cierto, yo tuve un traspié. Es que el zapato izquierdo me quedaba grande y se me salía. Si yo digo que se me salían, es que me salían. Y ahora dirán que me he caído y me he desmayado"", expresaba al medio antes citado, visiblemente molesta. ""Me da igual, déjame en paz, que estoy hasta el gorro de tanta mentira"", sentenciaba.
Carmen Lomana en su conversación con 'Socialité' 
Fue entonces cuando los reporteros del programa de Nuria Marin le preguntaban si iba a ser un patrón habitual el hecho de verla en las pasarelas. ""No, no, no es lo mío. Esto lo hice porque toda la gente que estaba ahí era gente muy joven y me gusta la gente así"", expresaba, revelando el motivo que la llevó a aceptar el gran reto. 
Además, la aristócrata volvía a remarcar que se trató de un pequeño percance con el zapato. ""Si yo te estoy diciendo que se me salía el zapato, porque le había echado crema y me resbalaba con la media, es eso, si te estoy contando mi versión y te lo quieres creer lo que te digo bien, estoy harta de responder"", sentenciaba, visiblemente molesta por todo lo que se ha dicho sobre su incidente en la pasarela. Sea como sea, parece que tardaremos un tiempo en volver a ver a Lomana desfilando. ",28/10/2023 16:26,lavanguardia
8,La Aemet lanza un nuevo aviso en plena borrasca Ciarán por la llegada de Domingos,"La borrasca Ciarán seguirá impactando de lleno en nuestro país. Para este viernes, se espera que continúe la inestabilidad en prácticamente en toda España, con intervalos de viento fuerte y muy fuerte en el norte y en el este de la Península y Baleares y precipitaciones especialmente fuertes en Galicia, de acuerdo con las previsiones de la Agencia Estatal de Meteorología (Aemet).
De hecho, para primera hora, la Aemet mantiene la alerta roja para el viernes por fenómenos costeros en Asturias, Cantabria, Galicia y País Vasco, y naranja por esa misma razón y por vientos en Andalucía, Baleares, Castilla-La Mancha, Catalunya y Comunidad Valenciana. 
Para hoy también se ha activado la alerta amarilla en Aragón, Castilla y León, Región de Murcia, La Rioja y la ciudad autónoma de Melilla por fuertes vientos. En muchos puntos, se esperan rachas de más de 100 km/h.
Una viandante se enfrenta a las fuertes rachas de viento mientras camina por una calle del centro de Madrid
Seguirán las precipitaciones en el norte. Galicia, Cantábrico y el oeste de Pirineos serán las zonas con lluvias más abundantes, localmente persistentes en la primera de estas regiones y con carácter tormentoso en la segunda. Para el resto, cielos cubiertos o con intervalos nubosos. 
Las temperaturas máximas descenderán acusadamente en la Península y Baleares, de forma localmente notable en el noreste y este peninsular, pronostica la Aemet. En el resto del país, no habrán grandes cambios en las mínimas. Se registrarán heladas en Pirineos y débiles en otras montañas del centro y norte. 
Domingos circulará entre la Península Ibérica y las islas Británicas y sus efectos se notarán sobre todo el sábado en forma de viento
Ciarán dará sus últimos coletazos el sábado. Ese día se espera que llegue una nueva borrasca de nombre Domingos. Se trata del cuarto temporal de la temporada que nombra el grupo suroeste en el que está España a través de la Aemet. 
Domingos circulará entre la Península Ibérica y las islas Británicas y sus efectos se notarán sobre todo el sábado en forma de viento, con rachas muy fuertes de 70 u 80 kilómetros por hora en buena parte del noroeste peninsular, área mediterránea y Baleares con rachas de más de 100 kilómetros por hora en zonas costeras y de montaña.",03/11/2023 08:18,lavanguardia
9,"F1, GP de Brasil de Fórmula 1 | Horario y dónde ver en directo por TVla clasificación y la carrera","El Gran Circo de la Fórmula 1 sigue con su próxima cita este fin de semana en el querido circuito de Interlagos para el gran premio de Brasil. Con el campeonato de pilotos en manos de Max Verstappen desde hace varias pruebas y el de constructores reclamado por Red Bull, la lucha en la zona media sigue siendo muy intensa.
El declive de Aston Martin en este tramo final de temporada está siendo toda una pesadilla para los fans de Fernando Alonso, que ha visto cómo sus opciones de quedar en el top 3 de la clasificación se complican mucho. Actualmente es 5º empatado a 183 puntos con su compatriota, Carlos Sainz. Por su parte, Sergio Pérez (240 puntos) sigue aguantando la segunda posición del mundial de pilotos sobre el tercer clasificado, Lewis Hamilton (220 puntos).
El gran premio de Brasil de Fórmula 1 se celebra en el Autódromo José Carlos Pace desde 1990 hasta la actualidad, siendo una de las citas más esperadas del año y con una afición más apasionada. Sus 4,3 kilómetros de curvas y desniveles están caracterizados por ser uno de los pocos circuitos en los que se corre en el sentido contrario a las agujas del reloj.
El año pasado George Russell estrenó su palmarés de victorias en la Fórmula 1 alzándose con el triunfo, mientras que Alain Prost es históricamente el piloto con más victorias en el GP de Brasil con seis triunfos, seguido de Carlos Reutemann y Michael Schumacher con sus cuatro carreras ganadas aquí.
Viernes, 3 de noviembre:
Sábado, 4 de noviembre:
Domingo, 5 de noviembre:
El GP de Brasil de Fórmula 1, la decimonovena prueba del campeonato, se disputará del 3 al 5 de noviembre. La carrera arrancará el domingo, a las 18:00 horas. Se podrá ver por televisión a través de DAZN y también se podrá seguir en directo en la página web de La Vanguardia.",03/11/2023 07:00,lavanguardia
