Título,Cuerpo,Dia y hora
"Guerra Israel - Hamas, hoy en directo | Última hora de los ataques y la ayuda humanitaria en Gaza","-El secretario general de la ONU, ""profundamente alarmado"" por la intensificación en Gaza
- La frontera sur de Gaza hacia Egipto se reabre para palestinos con doble nacionalidad y el traslado de heridos
- Hamas afirma que ayer murieron 7 rehenes en el ataque israelí contra el campo de Yabaliya
Horrorizado por las víctimas civiles del bombardeo en Yabalia. El derecho internacional humanitario debe respetarse siempre. Pedimos liberación incondicional de rehenes y tregua humanitaria para evitar más víctimas inocentes. Queremos paz y seguridad para todos en Oriente Medio.
Building on EU Council’s clear stance that Israel has the right to defend itself in line with international humanitarian law and ensuring the protection of all civilians, I am appalled by the high number of casualties following the bombing by Israel of the Jabalia refugee camp.
The Rafah crossing is likely to open today for a first group of foreign nationals.UK teams are ready to assist British nationals as soon as they are able to leave. It’s vital that lifesaving humanitarian aid can enter Gaza as quickly as possible.
Finalmente, y a presión del pueblo, el gobierno ha decidido romper relaciones diplomáticas con Israel. Lo hace después de estar tres años en el poder y después de que el régimen israelí asesinó a más de 8500 personas, casi la mitad niños y niñas. Esto no es suficiente, Bolivia…
He decidido llamar a consulta a nuestra embajadora en Israel. Si Israel no detiene la masacre del pueblo palestino no podemos estar allá.",01/11/2023 17:28
"Muere a los 50 años Tyler Christopher, conocido por su papel en ‘Hospital General’","Tyler Christopher, reconocido principalmente por su interpretación de Nikolas Cassadine en Hospital General, falleció a los 50 años debido a un ataque cardiaco en San Diego el pasado martes 31 de octubre. La noticia fue difundida por su antiguo compañero de reparto en Hospital General Maurice Benard, a través de Instagram, y posteriormente fue republicada por la cuenta oficial de Hospital General.
“Con gran tristeza compartimos la noticia del fallecimiento de Tyler Christopher. Tyler falleció esta mañana después de un evento cardiaco en su departamento de San Diego”, compartió Bernard en Instagram. Su antiguo compañero, al anunciar la triste noticia, destacó la genuina amistad y el alma amable de Tyler, así como la alegría que proporcionaba a sus seguidores a través de su actuación.
A post shared by Maurice Benard (@mauricebenard)
Aunque Christopher pasó por altibajos en su vida personal, como su lucha contra la depresión bipolar y el alcoholismo, pudo sobreponerse a estos problemas. De hecho, el actor fue conocido por su sinceridad sobre los problemas de salud mental y las adicciones, siendo un firme defensor de un mejor tratamiento en estas cuestiones.
La contribución de Tyler Christopher a la industria televisiva ha sido destacable. Su carrera comenzó en 1996, cuando se incorporó al reparto de Hospital General en el papel de Cassadine, una interpretación que le valió el reconocimiento y el aprecio tanto del público como de sus compañeros.
La contribución de Tyler Christopher a la industria televisiva ha sido destacable
Aunque dejó la serie en 1999 para explorar otros proyectos, regresó en el 2003, y durante esta etapa también interpretó al doble de Nikolas, Connor Bishop. Su vinculación con Hospital General continuó con un tercer regreso en el 2013, antes de dar por concluida su etapa en la serie en el 2016.
Después de su paso por la mítica serie, Tyler no interrumpió su carrera, uniéndose al reparto de Days of our lives entre el 2017 y el 2019, y también tuvo apariciones en episodios de series de máxima audiencia como Angel, Charmed, Felicity y CSI. También tuvo un papel en Thor: God of Thunder.",01/11/2023 08:34
La BBC da un giro sustancial en el caso de Madeleine McCann al apuntar a otro sospechoso,"El caso de la desaparición de Madeleine McCann, que conmovió al mundo hace 16 años en Praia da Luz, Portugal, ha dado un sorprendente giro tras la emisión de un nuevo documental por parte de la cadena británica BBC. 
En el documental titulado 'BBC Principal sospechoso: ¿Quién se llevó a Madeleine McCann?', se presentan actualizaciones de las pruebas recopiladas hasta el momento, poniendo el foco de atención en otro sospechoso.
Imagen de la pequeña Madeleine McCann
Desde el inicio de la investigación, las miradas se centraron en un ciudadano alemán encarcelado por violación en el Algarve en 2005 y enfrentando juicios pendientes por exhibicionismo y violación en Portugal. Hans Christian Wolters, fiscal de Braunschweig y líder de la investigación, ha sido entrevistado en el documental y ha revelado datos que podrían cambiar el rumbo de la pesquisa.
En junio de 2020, Wolters afirmó que el ciudadano alemán era el único sospechoso del caso, considerando la investigación resuelta en un 90%. Sin embargo, han transcurrido tres años sin avances sustanciales en su contra. El sospechoso, por su parte, ha alegado que prefería trabajar en silencio para no apresurarse en la investigación.
El documental expone pruebas cruciales, incluyendo chats del sospechoso que contenían contenido pedófilo y menciones de secuestro, abuso y eliminación de pruebas. Lo que no se había hecho público anteriormente es que las iniciales 'MM' podrían referirse a Madeleine McCann, lo que ha generado un nuevo interés en la investigación.
Los agentes investigaron en su día el embalse en busca del cuerpo de la pequeña
En una entrevista con la BBC, Wolters sugiere que cree que Madeleine fue asesinada en Portugal por el sospechoso alemán. Afirma: ""Puedo decir que, por ahora, solo tenemos un sospechoso"". Añade que creen saber dónde ocurrió el supuesto crimen.
El sospechoso actualmente se enfrenta a varios juicios por crímenes atroces, incluyendo violaciones y agresiones sexuales a menores. Este giro en el caso ha reabierto la esperanza de resolver el misterio de la desaparición de Madeleine McCann y arroja nuevas luces sobre la investigación en curso.",01/11/2023 15:56
La reacción de Isabel Preysler al último dardo de Vargas Llosa,"La reciente dedicatoria de Mario Vargas Llosa en su última novela, ""Le dedico mi silencio,"" ha generado reacciones inesperadas en su entorno, en particular en Isabel Preysler, con quien mantuvo una relación mediática en los últimos años. 
La dedicatoria, que simplemente lleva el nombre ""Patricia,"" es un gesto que ha sorprendido a muchos, ya que Patricia Llosa es la exesposa del Nobel de Literatura y madre de sus hijos.
La relación de Mario Vargas Llosa con Patricia fue larga y, a pesar de algunos altibajos, han mantenido una conexión sólida a lo largo de los años. Patricia Llosa había advertido a Isabel Preysler en una carta cuando comenzó su relación con Vargas Llosa que el escritor tenía la costumbre de regresar a su vida una y otra vez, algo que finalmente se cumplió. Los hijos de Vargas Llosa también han expresado su aprecio por Patricia y la consideran ""la mujer de la vida de su padre.""
La dedicatoria en el libro es un reconocimiento a la importancia de Patricia en la vida del autor. Mario Vargas Llosa ha afirmado que esta será su última novela, ya que, a sus 87 años, reconoce que la escritura de un nuevo libro implica un esfuerzo y tiempo considerables. No obstante, afirma que seguirá escribiendo, ya que la escritura es su pasión y su vida.
Isabel Preysler ha reaccionado con humor ante esta dedicatoria, a pesar de que el libro describe episodios personales de la relación entre Mario Vargas Llosa y ella. Al parecer, Preysler se ha tomado el gesto con ligereza y lo considera humorístico. Este episodio marca el final de una serie de declaraciones y actitudes que podrían haber sido interpretadas como ""feos"" hacia Preysler por parte de Vargas Llosa, incluyendo un relato breve en el que parecía burlarse de Tamara Falcó, hija de Isabel Preysler.
En resumen, la dedicatoria de Vargas Llosa a Patricia es un gesto de reconocimiento hacia su exesposa y madre de sus hijos, marcando un reencuentro y dejando atrás episodios de su vida sentimental. Isabel Preysler ha recibido la dedicatoria con humor, lo que parece indicar que las tensiones del pasado quedan en el olvido.",01/11/2023 18:03
"ONCE, comprobar resultados del sorteo de hoy miércoles 1 de noviembre de 2023","A la espera del resultado oficial, en breves minutos, les ofrecemos toda la información sobre el sorteo del Cupón diario de la ONCE y del Super Once de hoy 1 de noviembre de 2023. ¡Mucha suerte!
El cupón diario de la ONCE es el sorteo más longevo de la organización que lo celebra desde el 8 de mayo de 1939 llamado en aquel entonces Cupón Pro-Ciegos. En esos tiempos, el sorteo se realizaba de manera independiente en las diversas provincias de España, el precio del cupón era de 10 céntimos y consistía en un número de tres cifras más una serie de cinco cifras.
En la actualidad, el Cupón diario de la ONCE consta de un número de cinco cifras y un número de serie de tres con el que se obtiene le ganador de la Paga, el sorteo asociado al cupón que premia a los acertantes con una paga de 36.000€ al año durante 25 años.
En 1985, se iniciaron los sorteos especiales de fin de semana. A día de hoy, los viernes la ONCE sorteo el Cuponazo y los fines de semana el Sueldazo, dos sorteos con premios más elevados que los que puede conseguir de lunes a jueves con el Cupón diario.
El Super Once es un juego de loterías de la ONCE que se celebra todos los días de la semana. El sorteo consiste en una matriz de 80 números numerados del 1 al 80. El objetivo del participante consiste en elegir entre 5 y 11 números de la matriz siendo el orden de éstos indiferente.
Durante el sorteo, que se realiza de lunes a domingo a las 21.15h, se obtiene una combinación ganadora formada por 20 números de los 80. Con esta combinación los participantes optarán a diversos premios según la cantidad de números acertados y el tipo de apuesta pagado. Existen 7 tipos de apuestas según la cantidad de números elegidos: 11, 10, 9, 8, 7, 6 o 5.
Nota: LaVanguardia.com no se responsabiliza de los errores o de las omisiones que pudieran existir. La única lista oficial válida es la que proporciona Loterías y Apuestas del Estado.",01/11/2023 20:00
"Bonoloto, comprobar resultados del sorteo de hoy miércoles 1 de noviembre de 2023","A la espera del resultado oficial, en breves minutos, les ofrecemos toda la información sobre el sorteo de la Bonoloto de hoy miércoles 1 de noviembre de 2023. ¡Mucha suerte!
El apostante tiene la opción de realizar una apuesta simple en la que se pueden jugar de 1 a 8 apuestas por boleto como máximo y en cada apuesta se deben elegir 6 números. Otra opción es la llamada apuesta múltiple en la que se pueden seleccionar hasta un máximo de 11 números. Como es lógico, cuanto mayor es el número de múltiples, mayores son las posibilidades de ganar, pero mayor es también el coste de las apuestas.
Además, la Bonoloto ofrece la posibilidad de jugar para un solo sorteo (el sorteo diario) o jugar al resto de sorteos de la semana, lo que permite jugar en los seis sorteos de la semana (de lunes a sábado) si se ha validado el boleto antes del primer sorteo en el que se quiere participar con la misma combinación en los seis sorteos de la semana.
La Bonoloto es uno de los juegos de azar más arraigados en España y uno de los que cuenta con más jugadores. La Bonoloto, que se creó en febrero de 1988, está regulado por Loterías y Apuestas del Estado y destina el 55% de su recaudación a premios, según informa la propia sociedad estatal.
Nota: LaVanguardia.com no se hace responsable de errores u omisiones que pudieran existir. La única lista oficial válida es la que proporciona la sociedad estatal Loterías y Apuestas del Estado.",01/11/2023 20:00
"La 6/49, comprobar resultados del sorteo de hoy miércoles 1 de noviembre de 2023","El resultado del sorteo de la Lotto 6/49 de este miércoles 1 de noviembredel 2023 es 3, 20, 30, 36, 43 y 46 siendo el número plus el 5 el complementario el 2 y el reintegro el 1.
La 6/49 es un sorteo de la Lotería de Catalunya que se celebra cada miércoles y sábado a las 21h aproximadamente en Barcelona. Los apostantes deben escoger 6 números de entre 49 y el precio de la apuesta sencilla es de 1€ aunque hay diversas posibilidades (sencilla, múltiple y combinaciones).
El sorteo consiste en tres extracciones. La primera de 49 bolas numeradas del 1 al 49 dónde se extraen 6 números al azar y seguidamente una séptima bola para conocer el número complementario. Seguidamente, se hace un nuevo sorteo entre 10 bolas numeradas del 0 al 9 para descubrir el número Plus con el que puedes conseguir doblar el premio. Finalmente, se hace un último sorteo igual que el anterior para determinar el reintegro que permite recuperar la apuesta realizada a los participantes.
Nota: LaVanguardia.com no se responsabiliza de los errores o de las omisiones que pudieran existir. La única lista oficial válida es la que proporciona Loterías y Apuestas del Estado.",01/11/2023 20:00
La Aemet pone España en alerta: compara el impacto de la borrasca ‘Ciarán’ con un huracán,"Las inclemencias meteorológicas se ciernen de nuevo sobre España, según las alertas desplegadas por la Agencia Estatal de Meteorología (Aemet). Desde este jueves 2 noviembre y hasta al menos el domingo 5 de octubre se dibuja un escenario de borrascas atlánticas con sus correspondientes frentes, siendo el cuadrante noroeste peninsular el más afectado. 
Así que para los próximos días no hay que guardar el paraguas: prometen precipitaciones generalizadas, vientos intensos y un marcado temporal marítimo.
El nombre que no dejará de sonar estos días es el de Ciarán, que es como se ha bautizado la borrasca que se quedará unos días en territorio nacional. El impacto de Ciarán, según la Aemet, se dejará sentir con mayor fuerza el jueves, con precipitaciones casi generalizadas, vientos de gran intensidad y un notable temporal marítimo en la Península y Baleares. 
El doctor J.J. González Alemán, meteorólogo superior del Estado, ha ido un poco más allá y ha indicado en X que el poder de Ciarán se puede equiparar al de un huracán en términos de viento, debido a un proceso de reclusión cálida que intensifica aún más el viento.
El viento, con una intensidad que podría superar los 100 kilómetros por hora en ciertas zonas, junto con un temporal marítimo “duro”, especialmente en el litoral de Galicia y del Cantábrico donde el oleaje podría alcanzar o superar los 8 metros de altura, destacan como los fenómenos más significativos para el jueves. Este temporal marítimo también afectará al Mediterráneo, con olas que podrían alcanzar o superar los 5 metros de altura.
Los frentes asociados a esta borrasca entrarán por el noroeste peninsular, aportando precipitaciones localmente fuertes, ocasionalmente con tormentas en Galicia, el área cantábrica y los Pirineos. Las precipitaciones se extenderán al resto de la Península y Baleares, aunque con menor intensidad. 
Simultáneamente, una masa de aire más frío hará descender significativamente las temperaturas, y la cota de nieve se situará entre los 1.000 y los 1.200 metros en la mitad norte peninsular, dando paso a las “primeras nevadas significativas de la temporada” en las regiones montañosas.
Para el fin de semana, se ha apuntado la probabilidad de la llegada de una nueva borrasca que tendría características similares a Ciarán y que podría tener efectos parecidos sobre la Península y Baleares. Es decir, que traerá lluvias, vientos intensos y mal estado de la mar.
Según la Agencia Estatal de Meteorología, es “bastante probable” que esta nueva borrasca con sus frentes asociados afecte a casi la totalidad del país durante el sábado y el domingo. Y ya, para la próxima semana, no habrá descanso, porque llegará una nueva borrasca.",01/11/2023 09:45
"Mercadona, Lidl, Aldi, Carrefour... : ¿qué supermercados abren el 1 de noviembre, Día de Todos los Santos?","El Día de Todos los Santos, que recae el 1 de noviembre de 2023, es reconocido en el calendario laboral nacional como un festivo, marcando una jornada no laborable y no lectiva en toda España. Este día, muchas actividades comerciales se detienen para conmemorar la solemnidad de la fecha. 
Sin embargo, algunos supermercados optan por mantener sus puertas abiertas durante este día tan señalado, aunque con horarios modificados, para satisfacer las necesidades básicas de los consumidores. Estos son los horarios de los establecimientos para el Día de Todos los Santos.
Entre los supermercados que cierran sus puertas en esta fecha se encuentra Mercadona, cadena conocida por su horario continuado de 9:00 a 21:30 horas de lunes a sábado. Fiel a su política, el 1 de noviembre todas sus tiendas permanecerán cerradas, respetando la tradición de cerrar domingos y festivos.
En cambio, Lidl, cadena de origen alemán, tiene una política diferente. Este supermercado abre sus puertas los domingos y festivos, incluido el Día de Todos los Santos. Sin embargo, es importante mencionar que algunas tiendas funcionarán en horario reducido, de 10:00 a 15:00 horas. Para comprobar qué tiendas estarán abiertas, los consumidores pueden consultar el localizador de supermercados Lidl.
En la misma línea de operatividad se encuentra la cadena Aldi, que ha estipulado un horario especial para el 1 de noviembre en algunos de sus establecimientos, funcionando desde las 10:00 hasta las 22:00 horas. Esta ampliación horaria se aparta de su horario regular de 9:00 a 21:00 horas, permitiendo así una mayor flexibilidad para los clientes.
A diferencia de Mercadona, la cadena Dia también opta por abrir algunos festivos con horarios especiales. Aunque no todas las tiendas seguirán este patrón, es recomendable comprobar qué locales estarán disponibles al público en esta festividad.
AhorraMás es otra de las cadenas que dará servicio el 1 de noviembre, aunque con una variación en el horario, operando de 9:00 a 15:00 horas en determinadas tiendas.
Hipercor, conocida por su amplio horario de 9:00 a 22:00 horas de lunes a domingo, ofrecerá un funcionamiento mixto. Algunas de sus tiendas mantendrán su horario habitual, mientras que otras optarán por cerrar con motivo de la festividad.
Alcampo, por su parte, mantiene una política de apertura los domingos y festivos, de 9:00 a 22:00 horas. El 1 de noviembre, algunos de sus supermercados tendrán horarios especiales, como cerrar antes, mientras que otros decidirán cerrar sus puertas.",01/11/2023 09:05
Leo Messi en modo Jordan: el regalo sorpresa que recibió por su octavo Balón de Oro,"Ya no quedan palabras que expliquen lo que representa la figura de Leo Messi para la historia del fútbol mundial. Cada título y premio individual que conquista, agiganta más su leyenda. Algo similar ocurrió en la noche del 30 de octubre, cuando el astro argentino recibió su octavo Balón de Oro después de una emotiva gala en el Teatro del Châtelet, de París.
La revista que se encarga de entregar los premios, France Football, nombró nuevamente al rosarino como ganador. Algo que ya había hecho en 2009, 2010, 2011, 2012, 2015, 2019, 2021 y, ahora, 2023. Aunque, claro, este último es el más especial porque llega después de la consagración de la Selección Argentina en el Mundial de Qatar en diciembre pasado.
Pero el Balón de Oro no fue lo único que el campeón del mundo se llevó de la gala. Porque Adidas, la marca que lo viste tanto en su actual club, Inter Miami, como cuando le toca ponerse la camiseta albiceleste, y con la que tiene contrato de exclusividad, decidió hacerle un regalo que busca emular a la NBA.
Los ocho anillos que Adidas ha regalado al astro argentino
Así, la marca alemana le obsequió con ocho anillos -por sus ocho Balones de Oro- al rosarino. Lo mismo que hace la liga estadounidense, que en lugar de entregarle una medalla a los campeones de la temporada, les otorga un anillo.
Estos anillos que Adidas le regaló a Messi tienen un significado especial porque cada uno marca un momento relevante de su carrera.
Adidas comparó a Messi con Bill Russel, quien con 11 anillos, es el jugador con más títulos en la historia del básquet estadounidense.
El ex pívot de los Boston Celtics que falleció a mediados del año pasado, consiguió 11 anillos con el equipo en sus 13 temporadas jugadas. Una marca que ningún otro basquetbolista pudo igualar hasta el momento.",01/11/2023 11:15
