Título,Cuerpo,Dia y hora,Periódico
"Rueda de prensa de Simeone, en directo","Finaliza la rueda de prensa.
Griezmann, 21 en el Balón de Oro. ""Soy parte de su crecimiento y parecerá que hablo desde el corazón, pero es un gran jugador, pero dejemos que cada uno valore como quiera porque esto no va a cambiar"".
Tranquilidad con su renovación. ""Las Palmas"".
Cambio personal en un año. ""Un año en la vida laboral y personal puede cambiar y hay que estar siempre predispuestos para reaccionar. Pero no he cambiado nada en mi vida. Hemos podido reaccionar bien pero no me pasó nada diferente a lo que nos pasa a todos laboralmente en la temporada. Por suerte hemos tenido gente que nos ha acompañado y hemos logrado cambiar el rumbo de antes del Mundial"".
Duelo inédito con Pimienta. ""Nosotros siempre valoramos al equipo, no quién lo entrena. Sí valoramos lo que se ve y repito que será un partido difícil""
Dormir líder. ""No estamos pensando en esa situación, sino a un Las Palmas que me gusta y que seguro que tendrá mucho la pelota"".
Reinildo y lesionados. ""Los que vuelven nos vienen bien para tener más piezas en el plantel. Reinildo está trabajando, pero aún no puede competir. Lino esperemos que se una la semana que viene al grupo y Memphis cuanto antes, porque lo necesitamos"".
Renovación. ""Nada para comentar en este momento, todo la cabeza pensando en el partido de Las Plamas, que será complejo, con un entrenador que juega con un estilo arriesgado y ofensivo y un buen pensamiento del juego combinativo"".
En unos instantes aparecerá El Cholo.
Finaliza el entrenamiento, pasado por agua.
.
!Buenos días! Simeone comparecerá tras el entrenamiento.
Diego Pablo Simeone comparece ante los medios en víspera de volar esta tarde a Las Palmas para abrir la jornada del fin de semana este viernes (21.00 horas) en el Gran Canaria. Un partido en el que el Atlético podría situarse momentáneamente en lo más alto de la tabla si suma los tres puntos, pues aunque igualaría a puntos a Real Madrid y Girona cuenta con mejor balance goleador que ambos. 
Antes de viajar y de su presencia ante los medios de comunicación, El Cholo dispuso de la última sesión de entrenamiento, pasada por agua y marcada por una inesperada ausencia que se une a las de los tres lesionados (Lemar, Memphis y Lino), la del portero suplente Grbic, que no participaría por una indisposición. De hecho, todo apunta a que será baja, con lo que Gomis ejercería como recambio de Oblak.
Por lo demás, Simeone siguió esbozando el once que probó en la sesión del jueves antes de acudir a la sala de prensa, donde se espera que analice tanto la situación del equipo como la de su inminente renovación.",02 de noviembrede 2023Actualizado a las 13:03 h.,marca
"Partidos de Copa del Rey hoy, 2 de noviembre: horarios, resultados y dónde ver en TV y online","Tras una apasionantes segunda jornada donde vimos las goleadas del Getafe al Tardienta por 12 goles a 0 y del Betis al Hernan Cortés por 12 goles a 1, hoy terminarán los partidos de la primera fase de la Copa del Rey donde varios clubes de LaLiga EA Sports buscarán sellar su fase para la segunda ronda. 
Recordemos que por ahora no hemos tenido ninguna sorpresa y hay pleno de equipos de LaLiga EA Sports en la segunda fase de Copa, donde el próximo martes a las 13:00 horas será el sorteo donde entrará el Amorebieta pero no los equipos que disputarán la Supercopa de España. 
A continuación te mostramos todos los partidos de Copa del Rey que se juegan hoy jueves 2 de noviembre son sus horarios correspondientes y canal dónde ver el encuentro. ",02 de noviembrede 2023Actualizado a las 09:22 h.,marca
Mbappé y el Real Madrid callan... pero todos le ven de blanco,"En Valdebebas tiran balones fuera ante lo que está haciendo Jude Bellingham.  El protagonista mantiene silencio y solo hace gestos cuando es preguntado. Su madre, la otra estrella de la película, no se deja ver tanto a como acostumbraba, pero en el ambiente del fútbol europeo sigue apuntando a que el futuro de Kylian Mbappé pasa por el Santiago Bernabéu. En la noche del lunes en París, con ese Balón de Oro que se le volvió a escapar de testigo, nadie se atrevía a negar esa posibilidad como cierta.
En el vestuario del Real Madrid es algo que se da por seguro. Agentes, jugadores y periodistas presentes en el teatro Chatelet y alrededores daban por segura la llegada del delantero al Bernabéu allá por el mes de junio de 2024. En el PSG siguen manteniendo la esperanza de cambiar la situación, pero todos aquellos a los que preguntas con relación directa con el equipo parisino, dejan claro que la continuidad del delantero es más que complicada.
La situación es la misma a la de 2021. A dos meses del inicio de la cuenta atrás en forma de libertad para negociar, nadie tiene dudas de su futuro, pero eso es mucho decir. Vinicius, Rodrygo, Bellingham... se hacen a la idea de su llegada al cómo podrían encajar todos con el francés en el campo.
Kylian Mbappé ocupó un segundo plano en la gala del lunes en París. Llegó el último y se fue el primero. No se sintió cómodo en momento alguno. Por una vez, el francés no era el centro de atención de todos y todo, tal y como le gusta a él, pero lo cierto es que su simple presencia ha servido para que se vuelva a hablar de él y de su futuro, justo a dos meses para que tenga la capacidad de elegir su próximo destino. El resto de los que estaban en la gala, lo daban por seguro.
Precisamente es ahí en donde se ha rebajado la tensión alrededor de su figura. El silencio que mantiene desde el pasado mes de junio, su capacidad de aguante a la presión ejercida por el PSG durante el verano, la convivencia posterior y su resistencia a renovar contrato, le vuelven a colocar en el mercado y llegado a ese punto el nombre que de nuevo aparece es el del Real Madrid, club y dirigentes que repiten una y otra vez que en esta ocasión no hay la necesidad de 2022, que ha aparecido un jugador que ha cambiado la escena como es Jude Bellingham.
Está claro que los que mandan en el club blanco quieren alejarse de la necesidad del fichaje de un jugador del que todavía no pueden hablar y tampoco se terminan de fiar. No quieren crear necesidad alguna, pero lo curioso es que sus jugadores sí que dan por segura su llegada. Hasta el propio Vinicius ha declarado que está deseando jugar con él, Rodrygo se fotografió junto al francés. Lo dan por seguro, pero los que tienen que fabricar la operación, todavía no.
Lo cierto es que en dos meses se vuelve a la casilla de salida. Y ahora la relación entre el PSG y Mbappé no es la misma, aunque por Valdebebas saben que Qatar volverá a apostar fuerte y por eso no quieren mostrar debilidad alguna. Ya saben lo que dijo Florentino Pérez en una madrileña calle el pasado mes de julio. ""Sí, pero este verano, no"".",02 de noviembrede 2023Actualizado a las 01:29 h.,marca
El gran milagro de Endrick en Brasil antes de llegar al Real Madrid: mete dos golazos y remonta un 3-0,"Endrick, delantero de 17 años que la próxima temporada jugará en el Real Madrid, eclipsó al líder Botafogo con un doblete en el triunfo de remontada por 3-4 del Palmeiras.
En una noche de ensueño para Endrick, Palmeiras pasó de ir perdiendo en el primer tiempo por 3-0 a emprender una vigorosa recuperación con cuatro goles.
El conjunto de Río de Janeiro se puso en ventaja con tantos de Eduardo, Tchê Tchê y Júnior Santos, pero Murilo, el argentino José 'Flaco' López y Endrick, por partida doble, sentenciaron la victoria a domicilio del equipo paulista.
Endrick marcó los dos primeros goles del Verdão en jugadas individuales que contagiaron de ánimo al resto del equipo para conseguir el heroico triunfo.
Botafogo suma 59 puntos y ahora siente más cerca a Palmeiras, segundo en la tabla con 56 puntos.
El goleador de Botafogo, Tiquinho Soares, máximo artillero del torneo, perdió un penalti que fue atajado por el portero Weverton.",02 de noviembrede 2023Actualizado a las 09:49 h.,marca
Mestalla tendrá su fiesta de Nochevieja,"Fiesta en Mestalla. Pero sin fútbol en el césped. El Valencia ha autorizado, por primera vez en su historia reciente, una fiesta de Nochevieja en el estadio de Mestalla. El club ha dado el visto bueno y el 31 de diciembre el campo tendrá vida hasta altas horas de la madrugada. 
Los carteles que anuncian la fiesta ya están por la ciudad y desde la entidad del Turia se asegura que la fiesta no tendrá acceso al césped. El club alquila el espacio a uno de los patrocinadores (Memorable) en una manera diferente de generar ingresos através de la explotación del estadio. 
La fiesta será en en espacio de los vomitorios que rodean el estadio en la zona de la Avenida de Aragón y como el mismo club insiste, no habrá acceso al césped ni a otras instalaciones del estadio.",02 de noviembrede 2023Actualizado a las 12:44 h.,marca
"Doncic, de un mal partido a una jugada de ajedrez para ganar","Luka Doncic jugó su peor partido tras un inicio fabuloso de temporada regular con los Dallas Mavericks. El prodigio esloveno terminó con 18 puntos, pero pobres porcentajes de acierto (5/16 en el lanzamiento y 1/8 desde el triple), además de sumar 7 rebotes y 10 asistencias en 40 minutos de juego. Pero sus Dallas Mavericks ganaron (114-105) a los Chicago Bulls, siguen imbatidos y solo los Boston Celtics -en el Este- cuentan con un récord similar en la NBA.
El mal partido en lo numérico de Luka no fue impedimento para ver su estilo propio en los segundos finales. Con seis arriba tras el triple de Hardy, el esloveno deja un detalle de inteligencia plena sobre la cancha. Ve cómo la marca de los Bulls cambia y buscan atraparle, saca un enorme tiralíneas a Josh Green que está en la esquina y sentencia el partido. Asistencia de crack.
Jason Kidd, técnico de los Mavs, reconoció la labor de Doncic. ""Está participando en los dos lados de la cancha a un alto nivel. Tanto ofensivamente como defensivamente"", explicó tras el cuarto triunfo en cuatro noches de los Mavericks.",02 de noviembrede 2023Actualizado a las 12:10 h.,marca
"Murcia - Alavés : horario, canal y dónde ver en TV hoy la Copa del Rey","El arranque de una nueva edición de la Copa del Rey ha demostrado el interés televisivo de un torneo en el que la igualdad de oportunidades favorece la competición y las sorpresas en cada una de las rondas. Un interés que ha llegado a las televisiones autonómicas, cinco de las cuales ofrecerán partidos de la primera ronda, sumándose así a RTVE y Movistar, que son propietarias de los derechos de esta competición.
Deportivo Murcia y Alavés se enfrentan en la primera ronda de la Copa del Rey 2023/2024. El conjunto murciano se plantó en esta eliminatoria tras derrotar al Melilla con un 1-3. Por su parte, los vitorianos tratarán de llegar lejos en una competición que inician con mucha ilusión.
Este enfrentamiento será un premio para el conjunto de la capital del Segura, que se ganó después de vencer por 1-3 en el campo del Melilla Club Deportivo en la ronda previa y tras haber conquistado previamente el título de la Supercopa de la Federación de Fútbol de la Región de Murcia. El club con sede en Corvera, es el líder de su categoría y está invicto tras seis jornadas de competición. 
El encuentro entre el el Murcia y el Alavés de Copa del Rey, se juega hoy jueves 2 de noviembre a las 21:00 horas. El choque se disputará en el estadio BeSoccer La Condomina. El partido se podrá seguir por televisión a través de Movistar + y aquí en MARCA.com también podréis seguir el minuto a minuto del encuentro.",02 de noviembrede 2023Actualizado a las 08:29 h.,marca
"Logroñés - Valencia: horario, canal y dónde ver en TV hoy la Copa del Rey","El arranque de una nueva edición de la Copa del Rey ha demostrado el interés televisivo de un torneo en el que la igualdad de oportunidades favorece la competición y las sorpresas en cada una de las rondas. Un interés que ha llegado a las televisiones autonómicas, cinco de las cuales ofrecerán partidos de la primera ronda, sumándose así a RTVE y Movistar, que son propietarias de los derechos de esta competición.
El UD Logroñés es uno de los 18 equipos que forman la Segunda RFEF. El conjunto de Logroós es quinto en la clasificación general con cuatro victorias y cinco empates con 17 puntos. En la última jornada, el equipo se enfrentó al Arenas Club y se llevó la victoria por un 5-1. 
Por su parte el Valencia es noveno en la Liga con cuatro victorias, tres empates y cuatro derrotas con 15 puntos. El fin de semana pasado, los valencianos se vieron las caras contra el Athletic Club y firmaron un empate a doses. No obstante, este no será el primer enfrentamiento entre los chés con el Logroñés. La última vez que se vieron las caras ambos equipos fue hace tres años en la misma competición. El equipo valenciano se llevó la victoria con un gol de Maximiliano Gómez tras una asistencia de Ferrán Torres. 
El Logroñés - Valencia de Copa del Rey se disputa hoy  jueves 2 de noviembre a partir de las 20.00 horas en el canal deportivo de TVE, Teledeporte y en la plataforma RTVE Play. También puede leer el minuto a minuto del partido y seguir toda la información de la Copa del Rey en Radio MARCA y aquí, en MARCA.com.",02 de noviembrede 2023Actualizado a las 08:29 h.,marca
"Arosa - Granada: horario, canal y dónde ver en TV hoy la Copa del Rey","El arranque de una nueva edición de la Copa del Rey ha demostrado el interés televisivo de un torneo en el que la igualdad de oportunidades favorece la competición y las sorpresas en cada una de las rondas. Un interés que ha llegado a las televisiones autonómicas, cinco de las cuales ofrecerán partidos de la primera ronda, sumándose así a RTVE y Movistar, que son propietarias de los derechos de esta competición.
Arosa SC y Granada se enfrentan en la primera ronda de la Copa del Rey 2023/2024. El conjunto gallego está peleando en la parte media de la tabla de su grupo en la Tercera RFEF. Por su parte, los granadinos estarán en la lucha pro la permanencia durante esta temporada.
El Arosa - Granada se juega hoy 2 de noviembre a las 19:00 en el estadio municipal de A Lomba. Se podrá seguir a través de Movistar + y aquí en MARCA.com también os iremos contando el minuto a minuto del duelo en directo.",02 de noviembrede 2023Actualizado a las 08:20 h.,marca
"'Now and then': cuándo sale, dónde escuchar y letra de la nueva canción de los Beatles generada por IA","Una de las bandas que han marcado una época en toda la historia de la música está a punto de volver a escribir una de las últimas páginas de su libro. The Beatles, la mítica banda de rock de Liverpool que hizo historia, durante 10 años, ha vuelto a la actividad mediante su cuenta en redes sociales en memoria de todo su legado y con un propósito que parece que alegrará a todos sus fieles seguidoresrockeros. 
Un mensaje oculto que no ha hecho más que saltar las alarmas de la banda británica. El pasado miércoles 25 de octubre, la cuenta de los Beatles publicaba una imagen de una cinta de casete básica blanca y naranja con una letra A, tanto a X (antes Twitter) como a Instagram, acompañada de un texto de un enlace que va directamente a la página oficial de la banda.
La propia cinta tiene sus misterios. Aparece una flecha naranja acompañada de otro texto que dice (tipo, normal y posición) y a la derecha de la flecha se pueden ver como unas letras de canciones que, a priori, parece que están desenfocadas a propósito. A pesar de que la última canción del grupo sigue siendo lo más esperado por sus fans, parece ser que va a ser el año en el que finalmente se consiga. 
Aunque tan solo dos integrantes de la banda se mantengan con vida, Paul McCartney y Ringo Starr se comprometieron a hacer una última canción de la mano de la Inteligencia Artificial, que reviviría la voz de John Lennon y Richar Harrison.
Los rumores siempre se suelen cumplir y una canción compuesta por John Lennon en 1978, con una prueba de Yoko Ono, parece ser que ha sido la candidata para ser la última canción del grupo, de la ayuda de la IA. ""Now And Then"" era su nombre y la grabación se encuentra en una cinta que grabó el fundador del grupo antes de morir asesinado en 1980.
La nueva canción del célebre grupo inglés se publicará el jueves 2 de noviembre. Concretamente será a las 15:00, hora española, cuando se haga pública. 
La nueva canción de The Beatles podrá ser escuchada a través de las diferentes plataformas musicales y de vídeo clásicas, como YouTube, Spotify, Amazon Music y Apple Music.
Publicaremos la nueva canción de la letra en cuanto se haga pública.",02 de noviembrede 2023Actualizado a las 12:29 h.,marca
